# instruction bytes -> MASM text, verified byte-identical by tools/verify_encodings.py.
# Regenerate with: py tools/verify_encodings.py --table data/encodings.tsv
cc	int 3
8b565c	mov edx, dword ptr [esi + 5Ch]
81c1d4010000	add ecx, 1D4h
8d5718	lea edx, [edi + 18h]
8ad9	mov bl, cl
b803000000	mov eax, 3
83fb03	cmp ebx, 3
8845ff	mov byte ptr [ebp - 1], al
8b4750	mov eax, dword ptr [edi + 50h]
8b5750	mov edx, dword ptr [edi + 50h]
8d463c	lea eax, [esi + 3Ch]
8d4e48	lea ecx, [esi + 48h]
8d5654	lea edx, [esi + 54h]
8d4658	lea eax, [esi + 58h]
8d4e5c	lea ecx, [esi + 5Ch]
83c660	add esi, 60h
8d4e04	lea ecx, [esi + 4]
8d8ef4000000	lea ecx, [esi + 0F4h]
8d8e4c010000	lea ecx, [esi + 14Ch]
8d8ea4010000	lea ecx, [esi + 1A4h]
8d8efc010000	lea ecx, [esi + 1FCh]
b305	mov bl, 5
89beb4000000	mov dword ptr [esi + 0B4h], edi
89bee4000000	mov dword ptr [esi + 0E4h], edi
6860150000	push 1560h
8986b8000000	mov dword ptr [esi + 0B8h], eax
68a4030000	push 3A4h
8986bc000000	mov dword ptr [esi + 0BCh], eax
8986c0000000	mov dword ptr [esi + 0C0h], eax
8986cc000000	mov dword ptr [esi + 0CCh], eax
8986d0000000	mov dword ptr [esi + 0D0h], eax
682c010000	push 12Ch
8986c4000000	mov dword ptr [esi + 0C4h], eax
8986e4000000	mov dword ptr [esi + 0E4h], eax
89bec8000000	mov dword ptr [esi + 0C8h], edi
89be54020000	mov dword ptr [esi + 254h], edi
89bed8000000	mov dword ptr [esi + 0D8h], edi
89bedc000000	mov dword ptr [esi + 0DCh], edi
89beec000000	mov dword ptr [esi + 0ECh], edi
c786e800000002000000	mov dword ptr [esi + 0E8h], 2
8bbebc000000	mov edi, dword ptr [esi + 0BCh]
8b8ecc000000	mov ecx, dword ptr [esi + 0CCh]
8b8ed0000000	mov ecx, dword ptr [esi + 0D0h]
8bbec8000000	mov edi, dword ptr [esi + 0C8h]
8b8ec4000000	mov ecx, dword ptr [esi + 0C4h]
8bbe54020000	mov edi, dword ptr [esi + 254h]
8b8ec0000000	mov ecx, dword ptr [esi + 0C0h]
8b8ed8000000	mov ecx, dword ptr [esi + 0D8h]
8b8ee4000000	mov ecx, dword ptr [esi + 0E4h]
8986c8000000	mov dword ptr [esi + 0C8h], eax
8b86bc000000	mov eax, dword ptr [esi + 0BCh]
8d7e04	lea edi, [esi + 4]
8b8ebc000000	mov ecx, dword ptr [esi + 0BCh]
8d5018	lea edx, [eax + 18h]
05d4010000	add eax, 1D4h
ff5264	call dword ptr [edx + 64h]
8b8938020000	mov ecx, dword ptr [ecx + 238h]
8b893c020000	mov ecx, dword ptr [ecx + 23Ch]
898140020000	mov dword ptr [ecx + 240h], eax
0fbf4706	movsx eax, word ptr [edi + 6]
895d14	mov dword ptr [ebp + 14h], ebx
0fbf4f06	movsx ecx, word ptr [edi + 6]
8b96b8000000	mov edx, dword ptr [esi + 0B8h]
6838100000	push 1038h
894518	mov dword ptr [ebp + 18h], eax
8986d8000000	mov dword ptr [esi + 0D8h], eax
8a5124	mov dl, byte ptr [ecx + 24h]
8b8878060000	mov ecx, dword ptr [eax + 678h]
05dc040000	add eax, 4DCh
8b90e4080000	mov edx, dword ptr [eax + 8E4h]
0548070000	add eax, 748h
8b88500b0000	mov ecx, dword ptr [eax + 0B50h]
05b4090000	add eax, 9B4h
8b90bc0d0000	mov edx, dword ptr [eax + 0DBCh]
05200c0000	add eax, 0C20h
8986f0000000	mov dword ptr [esi + 0F0h], eax
6828030000	push 328h
8986e0000000	mov dword ptr [esi + 0E0h], eax
8bb6b8000000	mov esi, dword ptr [esi + 0B8h]
d9861c020000	fld dword ptr [esi + 21Ch]
d98620020000	fld dword ptr [esi + 220h]
83c618	add esi, 18h
d9860c020000	fld dword ptr [esi + 20Ch]
d886ec010000	fadd dword ptr [esi + 1ECh]
d886f0010000	fadd dword ptr [esi + 1F0h]
d886f4010000	fadd dword ptr [esi + 1F4h]
894dcc	mov dword ptr [ebp - 34h], ecx
894dd4	mov dword ptr [ebp - 2Ch], ecx
d986ec010000	fld dword ptr [esi + 1ECh]
d986f0010000	fld dword ptr [esi + 1F0h]
d986f4010000	fld dword ptr [esi + 1F4h]
d865e0	fsub dword ptr [ebp - 20h]
894830	mov dword ptr [eax + 30h], ecx
898154020000	mov dword ptr [ecx + 254h], eax
c7865402000000000000	mov dword ptr [esi + 254h], 0
8b96c0000000	mov edx, dword ptr [esi + 0C0h]
898654020000	mov dword ptr [esi + 254h], eax
8981b4000000	mov dword ptr [ecx + 0B4h], eax
8b81b4000000	mov eax, dword ptr [ecx + 0B4h]
8981dc000000	mov dword ptr [ecx + 0DCh], eax
c781ec00000000000000	mov dword ptr [ecx + 0ECh], 0
83ca02	or edx, 2
8991e8000000	mov dword ptr [ecx + 0E8h], edx
8b81e8000000	mov eax, dword ptr [ecx + 0E8h]
24fd	and al, 0FDh
8981e8000000	mov dword ptr [ecx + 0E8h], eax
8981ec000000	mov dword ptr [ecx + 0ECh], eax
8b8bb8000000	mov ecx, dword ptr [ebx + 0B8h]
8bb3b8000000	mov esi, dword ptr [ebx + 0B8h]
8b7b14	mov edi, dword ptr [ebx + 14h]
81c6d4010000	add esi, 1D4h
8d4b04	lea ecx, [ebx + 4]
8b8bbc000000	mov ecx, dword ptr [ebx + 0BCh]
8b8bb4000000	mov ecx, dword ptr [ebx + 0B4h]
8b8b54020000	mov ecx, dword ptr [ebx + 254h]
8b8bcc000000	mov ecx, dword ptr [ebx + 0CCh]
8b8bd0000000	mov ecx, dword ptr [ebx + 0D0h]
8b8bc8000000	mov ecx, dword ptr [ebx + 0C8h]
8b83e0000000	mov eax, dword ptr [ebx + 0E0h]
8b83d8000000	mov eax, dword ptr [ebx + 0D8h]
8b90b4000000	mov edx, dword ptr [eax + 0B4h]
8d88b4000000	lea ecx, [eax + 0B4h]
8d8bf4000000	lea ecx, [ebx + 0F4h]
8d8b4c010000	lea ecx, [ebx + 14Ch]
8d8ba4010000	lea ecx, [ebx + 1A4h]
8d8bfc010000	lea ecx, [ebx + 1FCh]
8b8bc4000000	mov ecx, dword ptr [ebx + 0C4h]
8b9bbc000000	mov ebx, dword ptr [ebx + 0BCh]
0fbf4b06	movsx ecx, word ptr [ebx + 6]
8b8eb4000000	mov ecx, dword ptr [esi + 0B4h]
f686e800000002	test byte ptr [esi + 0E8h], 2
89babc020000	mov dword ptr [edx + 2BCh], edi
89b854150000	mov dword ptr [eax + 1554h], edi
89b950150000	mov dword ptr [ecx + 1550h], edi
89b8bc020000	mov dword ptr [eax + 2BCh], edi
89b954150000	mov dword ptr [ecx + 1554h], edi
89ba50150000	mov dword ptr [edx + 1550h], edi
8bb6c4000000	mov esi, dword ptr [esi + 0C4h]
f6461001	test byte ptr [esi + 10h], 1
83c61c	add esi, 1Ch
6639be24020000	cmp word ptr [esi + 224h], di
398668020000	cmp dword ptr [esi + 268h], eax
8b83bc000000	mov eax, dword ptr [ebx + 0BCh]
0fbf4806	movsx ecx, word ptr [eax + 6]
8b4208	mov eax, dword ptr [edx + 8]
8b0c88	mov ecx, dword ptr [eax + ecx*4]
f60110	test byte ptr [ecx], 10h
8bbbf0000000	mov edi, dword ptr [ebx + 0F0h]
8d96cc000000	lea edx, [esi + 0CCh]
81c6c0000000	add esi, 0C0h
0bcb	or ecx, ebx
0bc3	or eax, ebx
d98250150000	fld dword ptr [edx + 1550h]
8b4110	mov eax, dword ptr [ecx + 10h]
0d00000100	or eax, 10000h
25fffffeff	and eax, 0FFFEFFFFh
894110	mov dword ptr [ecx + 10h], eax
d9804c150000	fld dword ptr [eax + 154Ch]
8b86d0000000	mov eax, dword ptr [esi + 0D0h]
81c900000400	or ecx, 40000h
81e1fffffbff	and ecx, 0FFFBFFFFh
b302	mov bl, 2
849ee8000000	test byte ptr [esi + 0E8h], bl
0fbf4106	movsx eax, word ptr [ecx + 6]
8b5108	mov edx, dword ptr [ecx + 8]
8b1482	mov edx, dword ptr [edx + eax*4]
8bbeb8000000	mov edi, dword ptr [esi + 0B8h]
d89ffc010000	fcomp dword ptr [edi + 1FCh]
8b96bc000000	mov edx, dword ptr [esi + 0BCh]
8b8ee0000000	mov ecx, dword ptr [esi + 0E0h]
8d96f4000000	lea edx, [esi + 0F4h]
81c1b8040000	add ecx, 4B8h
0524070000	add eax, 724h
8d86a4010000	lea eax, [esi + 1A4h]
81c290090000	add edx, 990h
8d96fc010000	lea edx, [esi + 1FCh]
81c1fc0b0000	add ecx, 0BFCh
ff5020	call dword ptr [eax + 20h]
8b8954020000	mov ecx, dword ptr [ecx + 254h]
8b86c4000000	mov eax, dword ptr [esi + 0C4h]
d9594c	fstp dword ptr [ecx + 4Ch]
8b8ec8000000	mov ecx, dword ptr [esi + 0C8h]
8b8e54020000	mov ecx, dword ptr [esi + 254h]
8b86c0000000	mov eax, dword ptr [esi + 0C0h]
8a482c	mov cl, byte ptr [eax + 2Ch]
8b8860030000	mov ecx, dword ptr [eax + 360h]
8b8884030000	mov ecx, dword ptr [eax + 384h]
8bb6c0000000	mov esi, dword ptr [esi + 0C0h]
8b868c030000	mov eax, dword ptr [esi + 38Ch]
8b81b8000000	mov eax, dword ptr [ecx + 0B8h]
83c018	add eax, 18h
d98184050000	fld dword ptr [ecx + 584h]
d881f0070000	fadd dword ptr [ecx + 7F0h]
d98188050000	fld dword ptr [ecx + 588h]
d881f4070000	fadd dword ptr [ecx + 7F4h]
d9818c050000	fld dword ptr [ecx + 58Ch]
d881f8070000	fadd dword ptr [ecx + 7F8h]
d9815c0a0000	fld dword ptr [ecx + 0A5Ch]
d881c80c0000	fadd dword ptr [ecx + 0CC8h]
d981600a0000	fld dword ptr [ecx + 0A60h]
d881cc0c0000	fadd dword ptr [ecx + 0CCCh]
d981640a0000	fld dword ptr [ecx + 0A64h]
d881d00c0000	fadd dword ptr [ecx + 0CD0h]
d845f0	fadd dword ptr [ebp - 10h]
d86178	fsub dword ptr [ecx + 78h]
d8617c	fsub dword ptr [ecx + 7Ch]
d8a180000000	fsub dword ptr [ecx + 80h]
8d4104	lea eax, [ecx + 4]
ff6004	jmp dword ptr [eax + 4]
8d4e1c	lea ecx, [esi + 1Ch]
8d8ef8060000	lea ecx, [esi + 6F8h]
8d9e08080000	lea ebx, [esi + 808h]
8dbe5c080000	lea edi, [esi + 85Ch]
8d8eb0080000	lea ecx, [esi + 8B0h]
8d8e04090000	lea ecx, [esi + 904h]
8d8e90090000	lea ecx, [esi + 990h]
8d8ebc090000	lea ecx, [esi + 9BCh]
8d8e240a0000	lea ecx, [esi + 0A24h]
8d8e540a0000	lea ecx, [esi + 0A54h]
8d8e840a0000	lea ecx, [esi + 0A84h]
8d8ebc0a0000	lea ecx, [esi + 0ABCh]
8d8e300b0000	lea ecx, [esi + 0B30h]
8986ac090000	mov dword ptr [esi + 9ACh], eax
8986b0090000	mov dword ptr [esi + 9B0h], eax
8986b4090000	mov dword ptr [esi + 9B4h], eax
8986b8090000	mov dword ptr [esi + 9B8h], eax
8986a8090000	mov dword ptr [esi + 9A8h], eax
898614090000	mov dword ptr [esi + 914h], eax
8d8690090000	lea eax, [esi + 990h]
8d461c	lea eax, [esi + 1Ch]
8d86f8060000	lea eax, [esi + 6F8h]
b889888888	mov eax, 88888889h
c1e103	shl ecx, 3
83fa0c	cmp edx, 0Ch
ba0c000000	mov edx, 0Ch
68ffffff00	push 0FFFFFFh
6a3a	push 3Ah
6a3b	push 3Bh
8986fc070000	mov dword ptr [esi + 7FCh], eax
b80a000000	mov eax, 0Ah
c7865009000001000000	mov dword ptr [esi + 950h], 1
c7868809000008000000	mov dword ptr [esi + 988h], 8
898e8c090000	mov dword ptr [esi + 98Ch], ecx
89866c090000	mov dword ptr [esi + 96Ch], eax
898678090000	mov dword ptr [esi + 978h], eax
898e18090000	mov dword ptr [esi + 918h], ecx
689a99193e	push 3E19999Ah
689a99993d	push 3D99999Ah
c745dc0000803f	mov dword ptr [ebp - 24h], 3F800000h
c745e00000803f	mov dword ptr [ebp - 20h], 3F800000h
c745e80000803f	mov dword ptr [ebp - 18h], 3F800000h
c745dccdcc4c3e	mov dword ptr [ebp - 24h], 3E4CCCCDh
c745e0cdcc4c3e	mov dword ptr [ebp - 20h], 3E4CCCCDh
c745e4cdcc4c3e	mov dword ptr [ebp - 1Ch], 3E4CCCCDh
c786200a000000000000	mov dword ptr [esi + 0A20h], 0
686666263f	push 3F266666h
898600080000	mov dword ptr [esi + 800h], eax
8b9600080000	mov edx, dword ptr [esi + 800h]
6a3d	push 3Dh
8b8e04080000	mov ecx, dword ptr [esi + 804h]
8d9e90090000	lea ebx, [esi + 990h]
8d86b0080000	lea eax, [esi + 8B0h]
8b5710	mov edx, dword ptr [edi + 10h]
23d0	and edx, eax
895710	mov dword ptr [edi + 10h], edx
8b8ec0080000	mov ecx, dword ptr [esi + 8C0h]
23c8	and ecx, eax
898ec0080000	mov dword ptr [esi + 8C0h], ecx
899eb40a0000	mov dword ptr [esi + 0AB4h], ebx
8986b40a0000	mov dword ptr [esi + 0AB4h], eax
8b8eb40a0000	mov ecx, dword ptr [esi + 0AB4h]
689a99593f	push 3F59999Ah
8dbe300b0000	lea edi, [esi + 0B30h]
8b96fc070000	mov edx, dword ptr [esi + 7FCh]
8dbe90090000	lea edi, [esi + 990h]
8986940b0000	mov dword ptr [esi + 0B94h], eax
8b86940b0000	mov eax, dword ptr [esi + 0B94h]
8dbe20090000	lea edi, [esi + 920h]
b90b000000	mov ecx, 0Bh
8886100a0000	mov byte ptr [esi + 0A10h], al
c6864c09000001	mov byte ptr [esi + 94Ch], 1
899e140a0000	mov dword ptr [esi + 0A14h], ebx
8db1b0080000	lea esi, [ecx + 8B0h]
8b4630	mov eax, dword ptr [esi + 30h]
c7463801000000	mov dword ptr [esi + 38h], 1
8d8c3820010000	lea ecx, [eax + edi + 120h]
81ff40040000	cmp edi, 440h
81fa80020000	cmp edx, 280h
0f9cc0	setl al
8db920090000	lea edi, [ecx + 920h]
bb0b000000	mov ebx, 0Bh
8b37	mov esi, dword ptr [edi]
8b460c	mov eax, dword ptr [esi + 0Ch]
89460c	mov dword ptr [esi + 0Ch], eax
83c704	add edi, 4
898148090000	mov dword ptr [ecx + 948h], eax
c745fc0d000000	mov dword ptr [ebp - 4], 0Dh
8b8eac090000	mov ecx, dword ptr [esi + 9ACh]
8b8eb0090000	mov ecx, dword ptr [esi + 9B0h]
8b8eb4090000	mov ecx, dword ptr [esi + 9B4h]
8b8eb8090000	mov ecx, dword ptr [esi + 9B8h]
899ea8090000	mov dword ptr [esi + 9A8h], ebx
899eac090000	mov dword ptr [esi + 9ACh], ebx
899eb0090000	mov dword ptr [esi + 9B0h], ebx
899eb4090000	mov dword ptr [esi + 9B4h], ebx
899eb8090000	mov dword ptr [esi + 9B8h], ebx
8d8e5c080000	lea ecx, [esi + 85Ch]
8dbef8060000	lea edi, [esi + 6F8h]
8d4f68	lea ecx, [edi + 68h]
8d4f48	lea ecx, [edi + 48h]
8b86240a0000	mov eax, dword ptr [esi + 0A24h]
8b96540a0000	mov edx, dword ptr [esi + 0A54h]
c786140a000000000000	mov dword ptr [esi + 0A14h], 0
897e18	mov dword ptr [esi + 18h], edi
8b7d10	mov edi, dword ptr [ebp + 10h]
8d9e240a0000	lea ebx, [esi + 0A24h]
8d9e840a0000	lea ebx, [esi + 0A84h]
8d9e540a0000	lea ebx, [esi + 0A54h]
c786780a000000000000	mov dword ptr [esi + 0A78h], 0
8dbebc090000	lea edi, [esi + 9BCh]
899e50090000	mov dword ptr [esi + 950h], ebx
898ea8090000	mov dword ptr [esi + 9A8h], ecx
8b96ac090000	mov edx, dword ptr [esi + 9ACh]
899e14090000	mov dword ptr [esi + 914h], ebx
8996a8090000	mov dword ptr [esi + 9A8h], edx
6a6c	push 6Ch
8b86b0090000	mov eax, dword ptr [esi + 9B0h]
c686100a000001	mov byte ptr [esi + 0A10h], 1
8b4710	mov eax, dword ptr [edi + 10h]
894710	mov dword ptr [edi + 10h], eax
687c010000	push 17Ch
8b4930	mov ecx, dword ptr [ecx + 30h]
8b86b4090000	mov eax, dword ptr [esi + 9B4h]
c7865009000000000000	mov dword ptr [esi + 950h], 0
898650090000	mov dword ptr [esi + 950h], eax
8b4f10	mov ecx, dword ptr [edi + 10h]
894f10	mov dword ptr [edi + 10h], ecx
8b869c0b0000	mov eax, dword ptr [esi + 0B9Ch]
897d0c	mov dword ptr [ebp + 0Ch], edi
89869c0b0000	mov dword ptr [esi + 0B9Ch], eax
8b8e9c0b0000	mov ecx, dword ptr [esi + 0B9Ch]
683333733f	push 3F733333h
8b91a0090000	mov edx, dword ptr [ecx + 9A0h]
0bd0	or edx, eax
8991a0090000	mov dword ptr [ecx + 9A0h], edx
8a91100a0000	mov dl, byte ptr [ecx + 0A10h]
8b91cc090000	mov edx, dword ptr [ecx + 9CCh]
8991cc090000	mov dword ptr [ecx + 9CCh], edx
8b91640a0000	mov edx, dword ptr [ecx + 0A64h]
8991640a0000	mov dword ptr [ecx + 0A64h], edx
8b91340a0000	mov edx, dword ptr [ecx + 0A34h]
8991340a0000	mov dword ptr [ecx + 0A34h], edx
8b91940a0000	mov edx, dword ptr [ecx + 0A94h]
8991940a0000	mov dword ptr [ecx + 0A94h], edx
f681a009000001	test byte ptr [ecx + 9A0h], 1
8a9108070000	mov dl, byte ptr [ecx + 708h]
8b9108070000	mov edx, dword ptr [ecx + 708h]
899108070000	mov dword ptr [ecx + 708h], edx
8b8860010000	mov ecx, dword ptr [eax + 160h]
8bb068010000	mov esi, dword ptr [eax + 168h]
68000000ff	push 0FF000000h
8b8608070000	mov eax, dword ptr [esi + 708h]
898608070000	mov dword ptr [esi + 708h], eax
8b412c	mov eax, dword ptr [ecx + 2Ch]
c786180a000000000000	mov dword ptr [esi + 0A18h], 0
88814c090000	mov byte ptr [ecx + 94Ch], al
f686cc09000001	test byte ptr [esi + 9CCh], 1
8b86bc090000	mov eax, dword ptr [esi + 9BCh]
8b8ea8090000	mov ecx, dword ptr [esi + 9A8h]
8b8e940b0000	mov ecx, dword ptr [esi + 0B94h]
ff6208	jmp dword ptr [edx + 8]
39be200a0000	cmp dword ptr [esi + 0A20h], edi
d99e24080000	fstp dword ptr [esi + 824h]
8b8260010000	mov eax, dword ptr [edx + 160h]
8b9160010000	mov edx, dword ptr [ecx + 160h]
d99e78080000	fstp dword ptr [esi + 878h]
d986180a0000	fld dword ptr [esi + 0A18h]
bbfeffffff	mov ebx, 0FFFFFFFEh
d996180a0000	fst dword ptr [esi + 0A18h]
23c3	and eax, ebx
219ec0080000	and dword ptr [esi + 8C0h], ebx
39beb80a0000	cmp dword ptr [esi + 0AB8h], edi
8dbe840b0000	lea edi, [esi + 0B84h]
d986880b0000	fld dword ptr [esi + 0B88h]
d9868c0b0000	fld dword ptr [esi + 0B8Ch]
d986900b0000	fld dword ptr [esi + 0B90h]
83c42c	add esp, 2Ch
39be50090000	cmp dword ptr [esi + 950h], edi
8b8620090000	mov eax, dword ptr [esi + 920h]
8b8614090000	mov eax, dword ptr [esi + 914h]
dd45f8	fld qword ptr [ebp - 8]
b93c000000	mov ecx, 3Ch
b867666666	mov eax, 66666667h
c1fa02	sar edx, 2
83fa3c	cmp edx, 3Ch
899664090000	mov dword ptr [esi + 964h], edx
c786640900003c000000	mov dword ptr [esi + 964h], 3Ch
899668090000	mov dword ptr [esi + 968h], edx
f7eb	imul ebx
899670090000	mov dword ptr [esi + 970h], edx
899674090000	mov dword ptr [esi + 974h], edx
f7ef	imul edi
89967c090000	mov dword ptr [esi + 97Ch], edx
899680090000	mov dword ptr [esi + 980h], edx
6689be980b0000	mov word ptr [esi + 0B98h], di
8b86b80a0000	mov eax, dword ptr [esi + 0AB8h]
8b86300b0000	mov eax, dword ptr [esi + 0B30h]
f6462c01	test byte ptr [esi + 2Ch], 1
8b561c	mov edx, dword ptr [esi + 1Ch]
8b8650090000	mov eax, dword ptr [esi + 950h]
8b8e20090000	mov ecx, dword ptr [esi + 920h]
8d9e64090000	lea ebx, [esi + 964h]
8d1440	lea edx, [eax + eax*2]
8b9648090000	mov edx, dword ptr [esi + 948h]
d1ff	sar edi, 1
2bf8	sub edi, eax
8b43bc	mov eax, dword ptr [ebx - 44h]
8a8e4c090000	mov cl, byte ptr [esi + 94Ch]
668b5006	mov dx, word ptr [eax + 6]
668b4804	mov cx, word ptr [eax + 4]
8b8e8c090000	mov ecx, dword ptr [esi + 98Ch]
8b849620090000	mov eax, dword ptr [esi + edx*4 + 920h]
8a964c090000	mov dl, byte ptr [esi + 94Ch]
8b8648090000	mov eax, dword ptr [esi + 948h]
8b8c8620090000	mov ecx, dword ptr [esi + eax*4 + 920h]
8b968c090000	mov edx, dword ptr [esi + 98Ch]
668b5104	mov dx, word ptr [ecx + 4]
03fa	add edi, edx
d8a6140a0000	fsub dword ptr [esi + 0A14h]
8b88b0090000	mov ecx, dword ptr [eax + 9B0h]
8b80ac090000	mov eax, dword ptr [eax + 9ACh]
6a3e	push 3Eh
6a3f	push 3Fh
8a5d10	mov bl, byte ptr [ebp + 10h]
d95d10	fstp dword ptr [ebp + 10h]
d886140a0000	fadd dword ptr [esi + 0A14h]
d99e140a0000	fstp dword ptr [esi + 0A14h]
d986140a0000	fld dword ptr [esi + 0A14h]
d99e780a0000	fstp dword ptr [esi + 0A78h]
8b89b0090000	mov ecx, dword ptr [ecx + 9B0h]
8dbe08080000	lea edi, [esi + 808h]
8986200a0000	mov dword ptr [esi + 0A20h], eax
8996180a0000	mov dword ptr [esi + 0A18h], edx
8db15c080000	lea esi, [ecx + 85Ch]
8b5610	mov edx, dword ptr [esi + 10h]
83ca01	or edx, 1
895610	mov dword ptr [esi + 10h], edx
8b89b4090000	mov ecx, dword ptr [ecx + 9B4h]
8b89b40a0000	mov ecx, dword ptr [ecx + 0AB4h]
8b91b80a0000	mov edx, dword ptr [ecx + 0AB8h]
8981b80a0000	mov dword ptr [ecx + 0AB8h], eax
8991b80a0000	mov dword ptr [ecx + 0AB8h], edx
8b81b80a0000	mov eax, dword ptr [ecx + 0AB8h]
8b81400b0000	mov eax, dword ptr [ecx + 0B40h]
8981400b0000	mov dword ptr [ecx + 0B40h], eax
d9e0	fchs
d9403c	fld dword ptr [eax + 3Ch]
897e20	mov dword ptr [esi + 20h], edi
897e24	mov dword ptr [esi + 24h], edi
897e28	mov dword ptr [esi + 28h], edi
894118	mov dword ptr [ecx + 18h], eax
895124	mov dword ptr [ecx + 24h], edx
894120	mov dword ptr [ecx + 20h], eax
89511c	mov dword ptr [ecx + 1Ch], edx
c7412800000000	mov dword ptr [ecx + 28h], 0
d94124	fld dword ptr [ecx + 24h]
397e28	cmp dword ptr [esi + 28h], edi
837e1c01	cmp dword ptr [esi + 1Ch], 1
d94624	fld dword ptr [esi + 24h]
397e18	cmp dword ptr [esi + 18h], edi
397e1c	cmp dword ptr [esi + 1Ch], edi
d84624	fadd dword ptr [esi + 24h]
d86e24	fsubr dword ptr [esi + 24h]
83712801	xor dword ptr [ecx + 28h], 1
c7462002000000	mov dword ptr [esi + 20h], 2
8b711c	mov esi, dword ptr [ecx + 1Ch]
f77e1c	idiv dword ptr [esi + 1Ch]
8b1490	mov edx, dword ptr [eax + edx*4]
895624	mov dword ptr [esi + 24h], edx
897920	mov dword ptr [ecx + 20h], edi
81ecac000000	sub esp, 0ACh
8d7db4	lea edi, [ebp - 4Ch]
8b7230	mov esi, dword ptr [edx + 30h]
d84dcc	fmul dword ptr [ebp - 34h]
d945c0	fld dword ptr [ebp - 40h]
d84df8	fmul dword ptr [ebp - 8]
d945b4	fld dword ptr [ebp - 4Ch]
d845d8	fadd dword ptr [ebp - 28h]
d84dd0	fmul dword ptr [ebp - 30h]
d945b8	fld dword ptr [ebp - 48h]
d945c4	fld dword ptr [ebp - 3Ch]
d845dc	fadd dword ptr [ebp - 24h]
d84dd4	fmul dword ptr [ebp - 2Ch]
d945bc	fld dword ptr [ebp - 44h]
d945c8	fld dword ptr [ebp - 38h]
d845e0	fadd dword ptr [ebp - 20h]
8d433c	lea eax, [ebx + 3Ch]
8d7324	lea esi, [ebx + 24h]
d84e08	fmul dword ptr [esi + 8]
d84808	fmul dword ptr [eax + 8]
dee9	fsubp st(1), st
d808	fmul dword ptr [eax]
d80e	fmul dword ptr [esi]
8d4330	lea eax, [ebx + 30h]
c7434800000000	mov dword ptr [ebx + 48h], 0
c7434c00002040	mov dword ptr [ebx + 4Ch], 40200000h
c743503333c3c0	mov dword ptr [ebx + 50h], 0C0C33333h
8b4320	mov eax, dword ptr [ebx + 20h]
d94344	fld dword ptr [ebx + 44h]
8d4d84	lea ecx, [ebp - 7Ch]
8d7584	lea esi, [ebp - 7Ch]
8dbd54ffffff	lea edi, [ebp - 0ACh]
83c730	add edi, 30h
8db554ffffff	lea esi, [ebp - 0ACh]
8d4e68	lea ecx, [esi + 68h]
d809	fmul dword ptr [ecx]
d919	fstp dword ptr [ecx]
d84904	fmul dword ptr [ecx + 4]
d95904	fstp dword ptr [ecx + 4]
d84908	fmul dword ptr [ecx + 8]
d95908	fstp dword ptr [ecx + 8]
668986bc000000	mov word ptr [esi + 0BCh], ax
c7461c01000000	mov dword ptr [esi + 1Ch], 1
88463d	mov byte ptr [esi + 3Dh], al
88463c	mov byte ptr [esi + 3Ch], al
c786840000003d0a573e	mov dword ptr [esi + 84h], 3E570A3Dh
c786880000000000803e	mov dword ptr [esi + 88h], 3E800000h
c7868c00000014ae473f	mov dword ptr [esi + 8Ch], 3F47AE14h
c786900000000000403f	mov dword ptr [esi + 90h], 3F400000h
c7465400401044	mov dword ptr [esi + 54h], 44104000h
c7465800609544	mov dword ptr [esi + 58h], 44956000h
c7466800000842	mov dword ptr [esi + 68h], 42080000h
c7466c00005242	mov dword ptr [esi + 6Ch], 42520000h
c7464c9a99993f	mov dword ptr [esi + 4Ch], 3F99999Ah
d95e50	fstp dword ptr [esi + 50h]
d95e64	fstp dword ptr [esi + 64h]
c74678d1d0503e	mov dword ptr [esi + 78h], 3E50D0D1h
c7467cabaa2a3f	mov dword ptr [esi + 7Ch], 3F2AAAABh
c78680000000cfce4e3f	mov dword ptr [esi + 80h], 3F4ECECFh
c7465c00804444	mov dword ptr [esi + 5Ch], 44448000h
c746600080c544	mov dword ptr [esi + 60h], 44C58000h
c7467000007041	mov dword ptr [esi + 70h], 41700000h
c7467400009041	mov dword ptr [esi + 74h], 41900000h
895648	mov dword ptr [esi + 48h], edx
ff5070	call dword ptr [eax + 70h]
8b5d10	mov ebx, dword ptr [ebp + 10h]
c6463d01	mov byte ptr [esi + 3Dh], 1
8b9698000000	mov edx, dword ptr [esi + 98h]
c746781f856b3f	mov dword ptr [esi + 78h], 3F6B851Fh
c7467c3d0a573f	mov dword ptr [esi + 7Ch], 3F570A3Dh
c78680000000022b473f	mov dword ptr [esi + 80h], 3F472B02h
c746783108ac3d	mov dword ptr [esi + 78h], 3DAC0831h
c7467c7b142e3f	mov dword ptr [esi + 7Ch], 3F2E147Bh
c786800000001f856b3f	mov dword ptr [esi + 80h], 3F6B851Fh
898694000000	mov dword ptr [esi + 94h], eax
f680e000000040	test byte ptr [eax + 0E0h], 40h
c6463c01	mov byte ptr [esi + 3Ch], 1
668b450c	mov ax, word ptr [ebp + 0Ch]
668981bc000000	mov word ptr [ecx + 0BCh], ax
895134	mov dword ptr [ecx + 34h], edx
895120	mov dword ptr [ecx + 20h], edx
d88e8c000000	fmul dword ptr [esi + 8Ch]
d88e90000000	fmul dword ptr [esi + 90h]
d88e84000000	fmul dword ptr [esi + 84h]
